--- Cartosat-2D Logs ---
[2025-01-01 00:00:00] Temperature: 31.1°C, Voltage: 3.58V, Current: 1.26A, Signal_Strength: -63dBm, Antenna_Angle: 267.32°, Roll: -0.80°, Pitch: 0.90°, Yaw: 113.58°, Packets_Sent: 1967, Status: OK
[2025-01-01 03:40:00] Temperature: 43.2°C, Voltage: 3.62V, Current: 1.49A, Signal_Strength: -67dBm, Antenna_Angle: 244.86°, Roll: -0.02°, Pitch: 0.07°, Yaw: 15.65°, Packets_Sent: 1855, Status: OK
[2025-01-01 03:41:00] Temperature: 16.4°C, Voltage: 3.82V, Current: 0.99A, Signal_Strength: -66dBm, Antenna_Angle: 141.07°, Roll: -1.67°, Pitch: 0.29°, Yaw: 9.13°, Packets_Sent: 1585, Status: OK
[2025-01-01 03:42:00] Temperature: 44.3°C, Voltage: 3.62V, Current: 0.48A, Signal_Strength: -68dBm, Antenna_Angle: 59.21°, Roll: -1.75°, Pitch: 0.50°, Yaw: 10.03°, Packets_Sent: 1536, Status: OK
[2025-01-01 03:43:00] Temperature: 15.7°C, Voltage: 3.77V, Current: 1.43A, Signal_Strength: -50dBm, Antenna_Angle: 88.97°, Roll: -1.05°, Pitch: -0.64°, Yaw: 19.60°, Packets_Sent: 1869, Status: OK
[2025-01-01 03:44:00] Temperature: 38.8°C, Voltage: 3.83V, Current: 1.25A, Signal_Strength: -93dBm, Antenna_Angle: 275.07°, Roll: 0.32°, Pitch: -1.66°, Yaw: 21.85°, Packets_Sent: 1814, Status: Warning
[2025-01-01 03:45:00] Temperature: 35.8°C, Voltage: 3.76V, Current: 0.47A, Signal_Strength: -51dBm, Antenna_Angle: 19.72°, Roll: -1.74°, Pitch: 0.71°, Yaw: 201.33°, Packets_Sent: 1784, Status: OK
[2025-01-01 03:46:00] Temperature: 26.4°C, Voltage: 3.49V, Current: 1.23A, Signal_Strength: -68dBm, Antenna_Angle: 215.84°, Roll: -0.19°, Pitch: -0.14°, Yaw: 154.11°, Packets_Sent: 921, Status: OK
[2025-01-01 03:47:00] Temperature: 18.0°C, Voltage: 3.71V, Current: 1.14A, Signal_Strength: -74dBm, Antenna_Angle: 186.19°, Roll: -1.57°, Pitch: -1.95°, Yaw: 256.78°, Packets_Sent: 1294, Status: OK
[2025-01-01 03:48:00] Temperature: 40.2°C, Voltage: 3.81V, Current: 0.54A, Signal_Strength: -60dBm, Antenna_Angle: 127.94°, Roll: 0.90°, Pitch: -0.22°, Yaw: 87.53°, Packets_Sent: 1885, Status: OK
[2025-01-01 03:49:00] Temperature: 16.8°C, Voltage: 3.57V, Current: 0.88A, Signal_Strength: -46dBm, Antenna_Angle: 271.57°, Roll: 0.33°, Pitch: 0.16°, Yaw: 52.42°, Packets_Sent: 1537, Status: OK
[2025-01-01 03:50:00] Temperature: 33.1°C, Voltage: 3.57V, Current: 1.47A, Signal_Strength: -59dBm, Antenna_Angle: 236.76°, Roll: -1.77°, Pitch: 0.03°, Yaw: 300.65°, Packets_Sent: 1196, Status: OK
[2025-01-01 03:51:00] Temperature: 27.7°C, Voltage: 3.53V, Current: 0.62A, Signal_Strength: -48dBm, Antenna_Angle: 282.69°, Roll: -1.24°, Pitch: -0.10°, Yaw: 249.06°, Packets_Sent: 1599, Status: OK
[2025-01-01 03:52:00] Temperature: 35.8°C, Voltage: 3.21V, Current: 1.02A, Signal_Strength: -65dBm, Antenna_Angle: 107.86°, Roll: -1.35°, Pitch: -0.18°, Yaw: 284.10°, Packets_Sent: 1573, Status: Warning
[2025-01-01 03:53:00] Temperature: 34.2°C, Voltage: 3.73V, Current: 0.91A, Signal_Strength: -69dBm, Antenna_Angle: 173.06°, Roll: 1.23°, Pitch: -0.50°, Yaw: 144.11°, Packets_Sent: 1578, Status: OK
[2025-01-01 03:54:00] Temperature: 75.6°C, Voltage: 3.45V, Current: 0.79A, Signal_Strength: -58dBm, Antenna_Angle: 51.26°, Roll: -1.22°, Pitch: 0.34°, Yaw: 275.58°, Packets_Sent: 1801, Status: Warning
[2025-01-01 03:55:00] Temperature: 23.5°C, Voltage: 3.54V, Current: 0.69A, Signal_Strength: -70dBm, Antenna_Angle: 305.10°, Roll: -1.29°, Pitch: -1.91°, Yaw: 303.43°, Packets_Sent: 1403, Status: OK
[2025-01-01 03:56:00] Temperature: 15.6°C, Voltage: 3.72V, Current: 0.82A, Signal_Strength: -51dBm, Antenna_Angle: 39.95°, Roll: -0.78°, Pitch: -1.04°, Yaw: 291.41°, Packets_Sent: 1330, Status: OK
[2025-01-01 03:57:00] Temperature: 43.2°C, Voltage: 3.84V, Current: 1.50A, Signal_Strength: -49dBm, Antenna_Angle: 316.21°, Roll: -1.53°, Pitch: 1.53°, Yaw: 47.08°, Packets_Sent: 1033, Status: OK
[2025-01-01 03:58:00] Temperature: 31.0°C, Voltage: 3.73V, Current: 0.75A, Signal_Strength: -62dBm, Antenna_Angle: 229.01°, Roll: 1.05°, Pitch: 0.35°, Yaw: 307.59°, Packets_Sent: 994, Status: OK
[2025-01-01 03:59:00] Temperature: 19.5°C, Voltage: 3.55V, Current: 1.09A, Signal_Strength: -67dBm, Antenna_Angle: 45.52°, Roll: 1.87°, Pitch: 1.54°, Yaw: 75.32°, Packets_Sent: 1940, Status: OK
[2025-01-01 04:00:00] Temperature: 29.1°C, Voltage: 3.72V, Current: 0.47A, Signal_Strength: -60dBm, Antenna_Angle: 270.46°, Roll: -0.50°, Pitch: 0.08°, Yaw: 64.44°, Packets_Sent: 1942, Status: OK
[2025-01-01 04:01:00] Temperature: 30.8°C, Voltage: 3.64V, Current: 1.45A, Signal_Strength: -61dBm, Antenna_Angle: 209.22°, Roll: -1.17°, Pitch: 1.58°, Yaw: 162.74°, Packets_Sent: 974, Status: OK
[2025-01-01 04:02:00] Temperature: 21.6°C, Voltage: 3.62V, Current: 0.81A, Signal_Strength: -70dBm, Antenna_Angle: 303.27°, Roll: 0.20°, Pitch: -1.46°, Yaw: 30.25°, Packets_Sent: 1421, Status: OK
[2025-01-01 04:03:00] Temperature: 25.5°C, Voltage: 3.68V, Current: 0.91A, Signal_Strength: -56dBm, Antenna_Angle: 153.39°, Roll: -0.27°, Pitch: -0.53°, Yaw: 179.11°, Packets_Sent: 1857, Status: OK
[2025-01-01 04:04:00] Temperature: 15.7°C, Voltage: 3.63V, Current: 0.69A, Signal_Strength: -73dBm, Antenna_Angle: 324.52°, Roll: 1.37°, Pitch: 0.05°, Yaw: 231.71°, Packets_Sent: 1503, Status: OK
[2025-01-01 04:05:00] Temperature: 42.8°C, Voltage: 3.49V, Current: 0.48A, Signal_Strength: -74dBm, Antenna_Angle: 72.11°, Roll: 0.70°, Pitch: -1.00°, Yaw: 268.27°, Packets_Sent: 1302, Status: OK
[2025-01-01 04:06:00] Temperature: 40.4°C, Voltage: 3.53V, Current: 1.06A, Signal_Strength: -71dBm, Antenna_Angle: 307.79°, Roll: -1.97°, Pitch: -0.80°, Yaw: 296.02°, Packets_Sent: 1434, Status: OK
[2025-01-01 04:07:00] Temperature: 27.1°C, Voltage: 3.61V, Current: 1.04A, Signal_Strength: -55dBm, Antenna_Angle: 169.92°, Roll: 1.96°, Pitch: 1.81°, Yaw: 311.56°, Packets_Sent: 1949, Status: OK
[2025-01-01 04:08:00] Temperature: 36.7°C, Voltage: 3.53V, Current: 0.66A, Signal_Strength: -57dBm, Antenna_Angle: 198.94°, Roll: 0.89°, Pitch: -0.15°, Yaw: 285.08°, Packets_Sent: 1859, Status: OK
[2025-01-01 04:09:00] Temperature: 20.6°C, Voltage: 3.76V, Current: 1.17A, Signal_Strength: -69dBm, Antenna_Angle: 161.99°, Roll: -0.50°, Pitch: 0.31°, Yaw: 46.20°, Packets_Sent: 961, Status: OK
[2025-01-01 04:10:00] Temperature: 15.3°C, Voltage: 3.77V, Current: 1.32A, Signal_Strength: -65dBm, Antenna_Angle: 150.89°, Roll: 1.05°, Pitch: 0.76°, Yaw: 107.87°, Packets_Sent: 1726, Status: OK
[2025-01-01 04:11:00] Temperature: 32.0°C, Voltage: 3.46V, Current: 0.55A, Signal_Strength: -46dBm, Antenna_Angle: 357.92°, Roll: 1.92°, Pitch: -1.18°, Yaw: 140.63°, Packets_Sent: 1700, Status: OK
[2025-01-01 04:12:00] Temperature: 20.7°C, Voltage: 3.49V, Current: 1.03A, Signal_Strength: -61dBm, Antenna_Angle: 322.10°, Roll: -1.31°, Pitch: 0.70°, Yaw: 63.95°, Packets_Sent: 1090, Status: OK
[2025-01-01 04:13:00] Temperature: 75.1°C, Voltage: 3.46V, Current: 0.62A, Signal_Strength: -48dBm, Antenna_Angle: 138.92°, Roll: -1.07°, Pitch: 0.64°, Yaw: 25.19°, Packets_Sent: 1321, Status: Warning
[2025-01-01 04:14:00] Temperature: 40.8°C, Voltage: 3.61V, Current: 0.57A, Signal_Strength: -72dBm, Antenna_Angle: 193.12°, Roll: 0.97°, Pitch: -0.44°, Yaw: 325.28°, Packets_Sent: 1879, Status: OK
[2025-01-01 04:15:00] Temperature: 41.1°C, Voltage: 3.57V, Current: 1.30A, Signal_Strength: -55dBm, Antenna_Angle: 57.16°, Roll: 0.35°, Pitch: 0.01°, Yaw: 246.53°, Packets_Sent: 1535, Status: OK
[2025-01-01 04:16:00] Temperature: 15.2°C, Voltage: 3.51V, Current: 0.47A, Signal_Strength: -63dBm, Antenna_Angle: 290.72°, Roll: -0.68°, Pitch: 0.28°, Yaw: 176.74°, Packets_Sent: 1976, Status: OK
[2025-01-01 04:17:00] Temperature: 16.2°C, Voltage: 3.49V, Current: 1.11A, Signal_Strength: -47dBm, Antenna_Angle: 124.84°, Roll: -0.44°, Pitch: 1.29°, Yaw: 305.94°, Packets_Sent: 1509, Status: OK
[2025-01-01 04:18:00] Temperature: 20.4°C, Voltage: 3.70V, Current: 0.88A, Signal_Strength: -63dBm, Antenna_Angle: 237.26°, Roll: -0.43°, Pitch: 1.78°, Yaw: 86.29°, Packets_Sent: 1095, Status: OK
[2025-01-01 04:19:00] Temperature: 23.2°C, Voltage: 3.70V, Current: 0.72A, Signal_Strength: -48dBm, Antenna_Angle: 251.29°, Roll: 1.63°, Pitch: -0.35°, Yaw: 274.26°, Packets_Sent: 1344, Status: OK
[2025-01-01 04:20:00] Temperature: 26.1°C, Voltage: 3.75V, Current: 0.95A, Signal_Strength: -52dBm, Antenna_Angle: 147.63°, Roll: -0.99°, Pitch: 0.02°, Yaw: 166.38°, Packets_Sent: 1237, Status: OK
[2025-01-01 04:21:00] Temperature: 35.8°C, Voltage: 3.75V, Current: 0.82A, Signal_Strength: -53dBm, Antenna_Angle: 308.07°, Roll: -1.85°, Pitch: -1.00°, Yaw: 255.27°, Packets_Sent: 1712, Status: OK
[2025-01-01 04:22:00] Temperature: 35.1°C, Voltage: 3.64V, Current: 0.91A, Signal_Strength: -73dBm, Antenna_Angle: 236.52°, Roll: -1.44°, Pitch: 1.28°, Yaw: 302.95°, Packets_Sent: 1796, Status: OK
[2025-01-01 04:23:00] Temperature: 15.5°C, Voltage: 3.49V, Current: 0.72A, Signal_Strength: -59dBm, Antenna_Angle: 140.70°, Roll: 0.69°, Pitch: -1.96°, Yaw: 98.37°, Packets_Sent: 1058, Status: OK
[2025-01-01 04:24:00] Temperature: 20.3°C, Voltage: 3.74V, Current: 1.38A, Signal_Strength: -59dBm, Antenna_Angle: 159.14°, Roll: 1.35°, Pitch: 1.25°, Yaw: 230.76°, Packets_Sent: 997, Status: OK
[2025-01-01 04:25:00] Temperature: 41.9°C, Voltage: 3.61V, Current: 0.74A, Signal_Strength: -73dBm, Antenna_Angle: 1.68°, Roll: 1.07°, Pitch: 1.72°, Yaw: 134.87°, Packets_Sent: 1672, Status: OK
[2025-01-01 04:26:00] Temperature: 17.7°C, Voltage: 3.62V, Current: 1.49A, Signal_Strength: -65dBm, Antenna_Angle: 69.17°, Roll: -1.12°, Pitch: 1.53°, Yaw: 286.88°, Packets_Sent: 1029, Status: OK
[2025-01-01 04:27:00] Temperature: 20.0°C, Voltage: 3.52V, Current: 0.86A, Signal_Strength: -72dBm, Antenna_Angle: 117.77°, Roll: 0.50°, Pitch: 1.74°, Yaw: 142.22°, Packets_Sent: 1288, Status: OK
[2025-01-01 04:28:00] Temperature: 22.0°C, Voltage: 3.49V, Current: 0.76A, Signal_Strength: -75dBm, Antenna_Angle: 235.43°, Roll: -0.44°, Pitch: -0.16°, Yaw: 23.77°, Packets_Sent: 924, Status: OK
[2025-01-01 04:29:00] Temperature: 34.5°C, Voltage: 3.60V, Current: 0.47A, Signal_Strength: -68dBm, Antenna_Angle: 108.55°, Roll: 1.93°, Pitch: -1.59°, Yaw: 193.02°, Packets_Sent: 1923, Status: OK
[2025-01-01 04:30:00] Temperature: 40.5°C, Voltage: 3.52V, Current: 1.45A, Signal_Strength: -57dBm, Antenna_Angle: 353.30°, Roll: 0.71°, Pitch: 1.89°, Yaw: 249.73°, Packets_Sent: 1695, Status: OK
[2025-01-01 04:31:00] Temperature: 34.1°C, Voltage: 3.80V, Current: 0.75A, Signal_Strength: -49dBm, Antenna_Angle: 173.56°, Roll: -1.93°, Pitch: 1.65°, Yaw: 161.60°, Packets_Sent: 1586, Status: OK
[2025-01-01 04:32:00] Temperature: 37.3°C, Voltage: 3.65V, Current: 1.18A, Signal_Strength: -75dBm, Antenna_Angle: 7.64°, Roll: -0.76°, Pitch: 0.95°, Yaw: 272.60°, Packets_Sent: 1154, Status: OK
[2025-01-01 04:33:00] Temperature: 16.8°C, Voltage: 3.60V, Current: 0.73A, Signal_Strength: -70dBm, Antenna_Angle: 73.58°, Roll: -1.05°, Pitch: 0.90°, Yaw: 355.87°, Packets_Sent: 977, Status: OK
[2025-01-01 04:34:00] Temperature: 41.3°C, Voltage: 3.50V, Current: 0.75A, Signal_Strength: -51dBm, Antenna_Angle: 14.26°, Roll: 0.59°, Pitch: -0.85°, Yaw: 8.53°, Packets_Sent: 1749, Status: OK
[2025-01-01 04:35:00] Temperature: 24.9°C, Voltage: 3.55V, Current: 0.99A, Signal_Strength: -48dBm, Antenna_Angle: 239.40°, Roll: 1.21°, Pitch: 0.79°, Yaw: 80.08°, Packets_Sent: 1408, Status: OK
[2025-01-01 04:36:00] Temperature: 30.6°C, Voltage: 3.52V, Current: 1.09A, Signal_Strength: -73dBm, Antenna_Angle: 176.99°, Roll: -1.79°, Pitch: 1.97°, Yaw: 337.77°, Packets_Sent: 1294, Status: OK
[2025-01-01 04:37:00] Temperature: 20.2°C, Voltage: 3.67V, Current: 1.27A, Signal_Strength: -69dBm, Antenna_Angle: 182.67°, Roll: 0.90°, Pitch: -0.75°, Yaw: 259.80°, Packets_Sent: 1772, Status: OK
[2025-01-01 04:38:00] Temperature: 20.3°C, Voltage: 3.55V, Current: 0.71A, Signal_Strength: -62dBm, Antenna_Angle: 228.81°, Roll: 1.45°, Pitch: -0.08°, Yaw: 342.36°, Packets_Sent: 1456, Status: OK
[2025-01-01 04:39:00] Temperature: 26.3°C, Voltage: 3.64V, Current: 0.86A, Signal_Strength: -57dBm, Antenna_Angle: 156.03°, Roll: 1.28°, Pitch: 1.17°, Yaw: 7.13°, Packets_Sent: 1219, Status: OK
[2025-01-01 04:40:00] Temperature: 40.6°C, Voltage: 3.75V, Current: 1.41A, Signal_Strength: -57dBm, Antenna_Angle: 55.01°, Roll: -0.97°, Pitch: -0.15°, Yaw: 163.29°, Packets_Sent: 1259, Status: OK
[2025-01-01 04:41:00] Temperature: 33.2°C, Voltage: 3.48V, Current: 0.55A, Signal_Strength: -61dBm, Antenna_Angle: 55.70°, Roll: -1.98°, Pitch: 1.45°, Yaw: 262.93°, Packets_Sent: 1288, Status: OK
[2025-01-01 04:42:00] Temperature: 78.9°C, Voltage: 3.62V, Current: 0.83A, Signal_Strength: -53dBm, Antenna_Angle: 138.25°, Roll: 0.56°, Pitch: 0.35°, Yaw: 147.16°, Packets_Sent: 1530, Status: Warning
[2025-01-01 04:43:00] Temperature: 32.0°C, Voltage: 3.53V, Current: 0.88A, Signal_Strength: -67dBm, Antenna_Angle: 328.70°, Roll: 0.04°, Pitch: -0.05°, Yaw: 247.85°, Packets_Sent: 1613, Status: OK
[2025-01-01 04:44:00] Temperature: 34.5°C, Voltage: 3.82V, Current: 1.21A, Signal_Strength: -68dBm, Antenna_Angle: 12.42°, Roll: 0.52°, Pitch: 0.71°, Yaw: 251.08°, Packets_Sent: 1640, Status: OK
[2025-01-01 04:45:00] Temperature: 22.8°C, Voltage: 3.63V, Current: 1.15A, Signal_Strength: -67dBm, Antenna_Angle: 216.77°, Roll: -1.95°, Pitch: 1.08°, Yaw: 231.98°, Packets_Sent: 1230, Status: OK
[2025-01-01 04:46:00] Temperature: 26.9°C, Voltage: 3.68V, Current: 1.39A, Signal_Strength: -59dBm, Antenna_Angle: 67.97°, Roll: -1.34°, Pitch: -0.29°, Yaw: 249.05°, Packets_Sent: 1766, Status: OK
[2025-01-01 04:47:00] Temperature: 31.0°C, Voltage: 3.80V, Current: 1.04A, Signal_Strength: -53dBm, Antenna_Angle: 270.88°, Roll: -1.56°, Pitch: 0.29°, Yaw: 287.10°, Packets_Sent: 1082, Status: OK
[2025-01-01 04:48:00] Temperature: 23.1°C, Voltage: 3.53V, Current: 1.22A, Signal_Strength: -54dBm, Antenna_Angle: 2.31°, Roll: 1.27°, Pitch: -1.99°, Yaw: 25.14°, Packets_Sent: 1244, Status: OK
[2025-01-01 04:49:00] Temperature: 30.7°C, Voltage: 3.71V, Current: 1.21A, Signal_Strength: -70dBm, Antenna_Angle: 134.87°, Roll: -1.21°, Pitch: -1.27°, Yaw: 341.44°, Packets_Sent: 1175, Status: OK
[2025-01-01 04:50:00] Temperature: 39.4°C, Voltage: 3.52V, Current: 0.46A, Signal_Strength: -70dBm, Antenna_Angle: 273.29°, Roll: 1.93°, Pitch: 1.49°, Yaw: 158.66°, Packets_Sent: 1431, Status: OK
[2025-01-01 04:51:00] Temperature: 18.3°C, Voltage: 3.70V, Current: 0.49A, Signal_Strength: -72dBm, Antenna_Angle: 44.88°, Roll: -0.63°, Pitch: 0.34°, Yaw: 172.04°, Packets_Sent: 1031, Status: OK
[2025-01-01 04:52:00] Temperature: 18.0°C, Voltage: 3.47V, Current: 1.23A, Signal_Strength: -75dBm, Antenna_Angle: 209.67°, Roll: -1.61°, Pitch: 0.09°, Yaw: 2.61°, Packets_Sent: 985, Status: OK
[2025-01-01 04:53:00] Temperature: 44.6°C, Voltage: 3.75V, Current: 1.43A, Signal_Strength: -61dBm, Antenna_Angle: 121.33°, Roll: -0.65°, Pitch: 0.73°, Yaw: 123.50°, Packets_Sent: 1779, Status: OK
[2025-01-01 04:54:00] Temperature: 22.2°C, Voltage: 3.59V, Current: 0.84A, Signal_Strength: -57dBm, Antenna_Angle: 351.10°, Roll: 1.23°, Pitch: -1.99°, Yaw: 313.39°, Packets_Sent: 1576, Status: OK
[2025-01-01 04:55:00] Temperature: 40.1°C, Voltage: 3.82V, Current: 0.43A, Signal_Strength: -71dBm, Antenna_Angle: 191.02°, Roll: -0.53°, Pitch: 0.47°, Yaw: 237.19°, Packets_Sent: 1409, Status: OK
[2025-01-01 04:56:00] Temperature: 27.4°C, Voltage: 3.53V, Current: 1.48A, Signal_Strength: -46dBm, Antenna_Angle: 292.53°, Roll: 0.54°, Pitch: 1.49°, Yaw: 349.05°, Packets_Sent: 934, Status: OK
[2025-01-01 04:57:00] Temperature: 35.3°C, Voltage: 3.54V, Current: 0.93A, Signal_Strength: -53dBm, Antenna_Angle: 285.82°, Roll: -0.29°, Pitch: 1.73°, Yaw: 335.09°, Packets_Sent: 1613, Status: OK
[2025-01-01 04:58:00] Temperature: 40.7°C, Voltage: 3.81V, Current: 1.21A, Signal_Strength: -66dBm, Antenna_Angle: 70.23°, Roll: 1.48°, Pitch: 1.50°, Yaw: 282.54°, Packets_Sent: 1193, Status: OK
[2025-01-01 04:59:00] Temperature: 16.0°C, Voltage: 3.65V, Current: 0.50A, Signal_Strength: -50dBm, Antenna_Angle: 358.66°, Roll: -1.33°, Pitch: -0.21°, Yaw: 41.64°, Packets_Sent: 1856, Status: OK
[2025-01-01 05:00:00] Temperature: 22.2°C, Voltage: 3.53V, Current: 1.23A, Signal_Strength: -55dBm, Antenna_Angle: 32.19°, Roll: 1.97°, Pitch: -1.88°, Yaw: 334.43°, Packets_Sent: 1790, Status: OK
[2025-01-01 05:01:00] Temperature: 26.5°C, Voltage: 3.56V, Current: 1.19A, Signal_Strength: -55dBm, Antenna_Angle: 342.53°, Roll: 0.66°, Pitch: 1.69°, Yaw: 228.07°, Packets_Sent: 1152, Status: OK
[2025-01-01 05:02:00] Temperature: 38.9°C, Voltage: 3.58V, Current: 0.65A, Signal_Strength: -58dBm, Antenna_Angle: 332.58°, Roll: 0.58°, Pitch: -0.49°, Yaw: 258.27°, Packets_Sent: 1032, Status: OK
[2025-01-01 05:03:00] Temperature: 26.4°C, Voltage: 3.71V, Current: 1.02A, Signal_Strength: -49dBm, Antenna_Angle: 291.03°, Roll: -0.96°, Pitch: -0.84°, Yaw: 40.10°, Packets_Sent: 1357, Status: OK
[2025-01-01 05:04:00] Temperature: 32.8°C, Voltage: 3.17V, Current: 1.44A, Signal_Strength: -58dBm, Antenna_Angle: 45.87°, Roll: 1.82°, Pitch: 0.31°, Yaw: 0.60°, Packets_Sent: 1541, Status: Warning
[2025-01-01 05:05:00] Temperature: 81.3°C, Voltage: 3.09V, Current: 0.80A, Signal_Strength: -106dBm, Antenna_Angle: 286.76°, Roll: 0.65°, Pitch: 0.36°, Yaw: 38.37°, Packets_Sent: 1964, Status: Critical
[2025-01-01 05:06:00] Temperature: 21.6°C, Voltage: 3.72V, Current: 0.56A, Signal_Strength: -66dBm, Antenna_Angle: 268.93°, Roll: 0.40°, Pitch: -0.76°, Yaw: 356.51°, Packets_Sent: 970, Status: OK
[2025-01-01 05:07:00] Temperature: 44.9°C, Voltage: 3.73V, Current: 0.93A, Signal_Strength: -50dBm, Antenna_Angle: 178.20°, Roll: -1.76°, Pitch: 1.24°, Yaw: 54.97°, Packets_Sent: 1671, Status: OK
[2025-01-01 05:08:00] Temperature: 40.4°C, Voltage: 3.82V, Current: 0.65A, Signal_Strength: -53dBm, Antenna_Angle: 332.33°, Roll: 1.43°, Pitch: 0.91°, Yaw: 107.67°, Packets_Sent: 1266, Status: OK
[2025-01-01 05:09:00] Temperature: 42.4°C, Voltage: 3.51V, Current: 0.42A, Signal_Strength: -63dBm, Antenna_Angle: 152.07°, Roll: 1.96°, Pitch: 1.03°, Yaw: 140.78°, Packets_Sent: 1869, Status: OK
[2025-01-01 05:10:00] Temperature: 23.5°C, Voltage: 3.73V, Current: 0.61A, Signal_Strength: -99dBm, Antenna_Angle: 141.75°, Roll: -0.71°, Pitch: 1.17°, Yaw: 311.70°, Packets_Sent: 1168, Status: Warning
[2025-01-01 05:11:00] Temperature: 19.9°C, Voltage: 3.51V, Current: 1.17A, Signal_Strength: -66dBm, Antenna_Angle: 52.13°, Roll: 1.22°, Pitch: -1.22°, Yaw: 234.44°, Packets_Sent: 1346, Status: OK
[2025-01-01 05:12:00] Temperature: 40.7°C, Voltage: 3.49V, Current: 1.26A, Signal_Strength: -49dBm, Antenna_Angle: 135.56°, Roll: 0.72°, Pitch: -1.33°, Yaw: 20.28°, Packets_Sent: 1774, Status: OK
[2025-01-01 05:13:00] Temperature: 29.2°C, Voltage: 2.92V, Current: 0.53A, Signal_Strength: -60dBm, Antenna_Angle: 121.85°, Roll: 1.88°, Pitch: 0.51°, Yaw: 145.43°, Packets_Sent: 1788, Status: Critical
[2025-01-01 05:14:00] Temperature: 24.1°C, Voltage: 3.69V, Current: 0.59A, Signal_Strength: -53dBm, Antenna_Angle: 279.30°, Roll: 1.11°, Pitch: 1.46°, Yaw: 234.11°, Packets_Sent: 1083, Status: OK
[2025-01-01 05:15:00] Temperature: 34.6°C, Voltage: 3.60V, Current: 0.53A, Signal_Strength: -73dBm, Antenna_Angle: 176.11°, Roll: -1.10°, Pitch: 0.35°, Yaw: 355.44°, Packets_Sent: 1943, Status: OK
[2025-01-01 05:16:00] Temperature: 35.8°C, Voltage: 3.49V, Current: 1.05A, Signal_Strength: -63dBm, Antenna_Angle: 359.97°, Roll: -0.81°, Pitch: -1.50°, Yaw: 117.08°, Packets_Sent: 1788, Status: OK
[2025-01-01 05:17:00] Temperature: 40.9°C, Voltage: 3.67V, Current: 0.85A, Signal_Strength: -54dBm, Antenna_Angle: 141.76°, Roll: 1.13°, Pitch: 0.12°, Yaw: 23.01°, Packets_Sent: 1998, Status: OK
[2025-01-01 05:18:00] Temperature: 31.2°C, Voltage: 3.78V, Current: 1.12A, Signal_Strength: -52dBm, Antenna_Angle: 74.68°, Roll: -1.28°, Pitch: 0.40°, Yaw: 64.78°, Packets_Sent: 1140, Status: OK
[2025-01-01 05:19:00] Temperature: 39.0°C, Voltage: 3.50V, Current: 0.54A, Signal_Strength: -69dBm, Antenna_Angle: 58.03°, Roll: 1.41°, Pitch: -1.86°, Yaw: 352.76°, Packets_Sent: 1425, Status: OK
[2025-01-01 05:20:00] Temperature: 25.9°C, Voltage: 3.67V, Current: 0.87A, Signal_Strength: -47dBm, Antenna_Angle: 0.03°, Roll: -1.82°, Pitch: 1.78°, Yaw: 325.65°, Packets_Sent: 1515, Status: OK
[2025-01-01 05:21:00] Temperature: 31.0°C, Voltage: 3.51V, Current: 0.94A, Signal_Strength: -66dBm, Antenna_Angle: 327.87°, Roll: 0.42°, Pitch: 0.04°, Yaw: 247.65°, Packets_Sent: 1621, Status: OK
[2025-01-01 05:22:00] Temperature: 16.3°C, Voltage: 3.46V, Current: 0.56A, Signal_Strength: -49dBm, Antenna_Angle: 77.47°, Roll: 0.41°, Pitch: -1.14°, Yaw: 129.26°, Packets_Sent: 1174, Status: OK
[2025-01-01 05:23:00] Temperature: 33.7°C, Voltage: 3.48V, Current: 0.68A, Signal_Strength: -64dBm, Antenna_Angle: 325.31°, Roll: -0.18°, Pitch: 1.78°, Yaw: 243.54°, Packets_Sent: 1719, Status: OK
[2025-01-01 05:24:00] Temperature: 19.3°C, Voltage: 3.53V, Current: 1.09A, Signal_Strength: -67dBm, Antenna_Angle: 227.92°, Roll: 0.86°, Pitch: 0.25°, Yaw: 233.19°, Packets_Sent: 1294, Status: OK
[2025-01-01 05:25:00] Temperature: 19.9°C, Voltage: 3.78V, Current: 0.75A, Signal_Strength: -51dBm, Antenna_Angle: 136.42°, Roll: -1.69°, Pitch: -1.50°, Yaw: 39.60°, Packets_Sent: 1406, Status: OK
[2025-01-01 05:26:00] Temperature: 17.0°C, Voltage: 3.71V, Current: 0.80A, Signal_Strength: -65dBm, Antenna_Angle: 98.37°, Roll: -0.91°, Pitch: -1.61°, Yaw: 352.60°, Packets_Sent: 1362, Status: OK
[2025-01-01 05:27:00] Temperature: 43.6°C, Voltage: 3.76V, Current: 0.54A, Signal_Strength: -59dBm, Antenna_Angle: 315.18°, Roll: -1.62°, Pitch: -0.60°, Yaw: 205.97°, Packets_Sent: 1902, Status: OK
[2025-01-01 05:28:00] Temperature: 23.1°C, Voltage: 3.49V, Current: 0.45A, Signal_Strength: -65dBm, Antenna_Angle: 270.67°, Roll: -0.62°, Pitch: 0.97°, Yaw: 348.47°, Packets_Sent: 1270, Status: OK
[2025-01-01 05:29:00] Temperature: 32.8°C, Voltage: 3.79V, Current: 0.92A, Signal_Strength: -71dBm, Antenna_Angle: 3.42°, Roll: 0.85°, Pitch: 0.63°, Yaw: 51.36°, Packets_Sent: 1951, Status: OK
