--- Cartosat-2F Logs ---
[2025-01-01 00:00:00] Temperature: 23.5°C, Voltage: 3.47V, Current: 0.90A, Signal_Strength: -55dBm, Antenna_Angle: 299.51°, Roll: -0.12°, Pitch: -1.57°, Yaw: 51.04°, Packets_Sent: 1715, Status: OK
[2025-01-01 03:40:00] Temperature: 43.5°C, Voltage: 3.83V, Current: 0.44A, Signal_Strength: -54dBm, Antenna_Angle: 27.92°, Roll: 1.39°, Pitch: 0.12°, Yaw: 146.04°, Packets_Sent: 1649, Status: OK
[2025-01-01 03:41:00] Temperature: 36.6°C, Voltage: 3.60V, Current: 0.91A, Signal_Strength: -53dBm, Antenna_Angle: 329.80°, Roll: -0.00°, Pitch: 1.18°, Yaw: 144.49°, Packets_Sent: 1450, Status: OK
[2025-01-01 03:42:00] Temperature: 36.6°C, Voltage: 3.85V, Current: 1.19A, Signal_Strength: -47dBm, Antenna_Angle: 329.82°, Roll: 1.79°, Pitch: -0.56°, Yaw: 86.37°, Packets_Sent: 1587, Status: OK
[2025-01-01 03:43:00] Temperature: 29.2°C, Voltage: 3.79V, Current: 0.83A, Signal_Strength: -47dBm, Antenna_Angle: 214.07°, Roll: -0.47°, Pitch: 1.23°, Yaw: 155.12°, Packets_Sent: 1929, Status: OK
[2025-01-01 03:44:00] Temperature: 18.8°C, Voltage: 3.52V, Current: 0.71A, Signal_Strength: -74dBm, Antenna_Angle: 251.18°, Roll: 0.29°, Pitch: 1.70°, Yaw: 337.26°, Packets_Sent: 916, Status: OK
[2025-01-01 03:45:00] Temperature: 24.2°C, Voltage: 3.49V, Current: 0.78A, Signal_Strength: -52dBm, Antenna_Angle: 214.53°, Roll: 1.15°, Pitch: -0.52°, Yaw: 137.26°, Packets_Sent: 1561, Status: OK
[2025-01-01 03:46:00] Temperature: 28.4°C, Voltage: 3.50V, Current: 1.41A, Signal_Strength: -75dBm, Antenna_Angle: 313.23°, Roll: -1.45°, Pitch: -0.53°, Yaw: 258.26°, Packets_Sent: 1465, Status: OK
[2025-01-01 03:47:00] Temperature: 23.0°C, Voltage: 3.60V, Current: 1.43A, Signal_Strength: -66dBm, Antenna_Angle: 359.16°, Roll: 0.60°, Pitch: 0.33°, Yaw: 89.21°, Packets_Sent: 1442, Status: OK
[2025-01-01 03:48:00] Temperature: 43.2°C, Voltage: 3.78V, Current: 0.73A, Signal_Strength: -65dBm, Antenna_Angle: 111.22°, Roll: -0.19°, Pitch: -0.35°, Yaw: 236.80°, Packets_Sent: 1014, Status: OK
[2025-01-01 03:49:00] Temperature: 18.1°C, Voltage: 3.81V, Current: 1.39A, Signal_Strength: -74dBm, Antenna_Angle: 232.42°, Roll: -0.02°, Pitch: 0.12°, Yaw: 128.25°, Packets_Sent: 1149, Status: OK
[2025-01-01 03:50:00] Temperature: 43.0°C, Voltage: 3.48V, Current: 1.20A, Signal_Strength: -62dBm, Antenna_Angle: 329.80°, Roll: -0.73°, Pitch: -1.16°, Yaw: 293.62°, Packets_Sent: 1475, Status: OK
[2025-01-01 03:51:00] Temperature: 78.9°C, Voltage: 3.18V, Current: 1.38A, Signal_Strength: -97dBm, Antenna_Angle: 165.83°, Roll: 1.38°, Pitch: 0.60°, Yaw: 244.33°, Packets_Sent: 1446, Status: Warning
[2025-01-01 03:52:00] Temperature: 43.0°C, Voltage: 3.72V, Current: 1.16A, Signal_Strength: -63dBm, Antenna_Angle: 122.91°, Roll: -1.11°, Pitch: -0.22°, Yaw: 163.06°, Packets_Sent: 1202, Status: OK
[2025-01-01 03:53:00] Temperature: 27.0°C, Voltage: 3.58V, Current: 0.61A, Signal_Strength: -61dBm, Antenna_Angle: 40.13°, Roll: 0.58°, Pitch: -1.81°, Yaw: 274.74°, Packets_Sent: 1026, Status: OK
[2025-01-01 03:54:00] Temperature: 39.5°C, Voltage: 2.97V, Current: 1.43A, Signal_Strength: -73dBm, Antenna_Angle: 333.92°, Roll: -0.70°, Pitch: 0.08°, Yaw: 354.26°, Packets_Sent: 1652, Status: Critical
[2025-01-01 03:55:00] Temperature: 35.5°C, Voltage: 3.74V, Current: 0.47A, Signal_Strength: -69dBm, Antenna_Angle: 166.72°, Roll: -1.52°, Pitch: -1.89°, Yaw: 108.40°, Packets_Sent: 1299, Status: OK
[2025-01-01 03:56:00] Temperature: 35.8°C, Voltage: 3.50V, Current: 1.41A, Signal_Strength: -52dBm, Antenna_Angle: 190.47°, Roll: -0.02°, Pitch: -1.34°, Yaw: 12.63°, Packets_Sent: 1077, Status: OK
[2025-01-01 03:57:00] Temperature: 26.3°C, Voltage: 3.59V, Current: 1.18A, Signal_Strength: -59dBm, Antenna_Angle: 140.67°, Roll: 0.40°, Pitch: -1.25°, Yaw: 261.44°, Packets_Sent: 954, Status: OK
[2025-01-01 03:58:00] Temperature: 38.5°C, Voltage: 3.59V, Current: 1.19A, Signal_Strength: -46dBm, Antenna_Angle: 126.81°, Roll: 1.64°, Pitch: -1.41°, Yaw: 54.28°, Packets_Sent: 1336, Status: OK
[2025-01-01 03:59:00] Temperature: 39.4°C, Voltage: 3.54V, Current: 1.08A, Signal_Strength: -48dBm, Antenna_Angle: 217.21°, Roll: -1.99°, Pitch: -0.55°, Yaw: 170.52°, Packets_Sent: 1256, Status: OK
[2025-01-01 04:00:00] Temperature: 41.8°C, Voltage: 3.78V, Current: 1.26A, Signal_Strength: -68dBm, Antenna_Angle: 81.59°, Roll: -1.65°, Pitch: -0.60°, Yaw: 12.51°, Packets_Sent: 1774, Status: OK
[2025-01-01 04:01:00] Temperature: 42.2°C, Voltage: 3.67V, Current: 0.91A, Signal_Strength: -60dBm, Antenna_Angle: 140.07°, Roll: 1.15°, Pitch: -1.52°, Yaw: 182.03°, Packets_Sent: 1919, Status: OK
[2025-01-01 04:02:00] Temperature: 40.6°C, Voltage: 3.60V, Current: 0.51A, Signal_Strength: -60dBm, Antenna_Angle: 56.15°, Roll: -0.58°, Pitch: 1.38°, Yaw: 296.50°, Packets_Sent: 1104, Status: OK
[2025-01-01 04:03:00] Temperature: 41.8°C, Voltage: 3.67V, Current: 1.02A, Signal_Strength: -46dBm, Antenna_Angle: 254.18°, Roll: 0.66°, Pitch: 1.37°, Yaw: 156.50°, Packets_Sent: 1909, Status: OK
[2025-01-01 04:04:00] Temperature: 22.9°C, Voltage: 3.79V, Current: 1.26A, Signal_Strength: -61dBm, Antenna_Angle: 116.75°, Roll: -1.48°, Pitch: -1.16°, Yaw: 349.14°, Packets_Sent: 1437, Status: OK
[2025-01-01 04:05:00] Temperature: 35.7°C, Voltage: 3.51V, Current: 1.45A, Signal_Strength: -47dBm, Antenna_Angle: 183.00°, Roll: 1.02°, Pitch: -0.83°, Yaw: 358.96°, Packets_Sent: 1117, Status: OK
[2025-01-01 04:06:00] Temperature: 44.7°C, Voltage: 3.79V, Current: 1.02A, Signal_Strength: -53dBm, Antenna_Angle: 239.39°, Roll: -1.29°, Pitch: 1.83°, Yaw: 145.81°, Packets_Sent: 1277, Status: OK
[2025-01-01 04:07:00] Temperature: 39.6°C, Voltage: 3.70V, Current: 1.49A, Signal_Strength: -69dBm, Antenna_Angle: 236.19°, Roll: -1.03°, Pitch: 1.59°, Yaw: 284.52°, Packets_Sent: 1697, Status: OK
[2025-01-01 04:08:00] Temperature: 39.0°C, Voltage: 3.48V, Current: 1.11A, Signal_Strength: -59dBm, Antenna_Angle: 97.76°, Roll: -0.90°, Pitch: 1.31°, Yaw: 2.27°, Packets_Sent: 1907, Status: OK
[2025-01-01 04:09:00] Temperature: 21.9°C, Voltage: 3.67V, Current: 0.74A, Signal_Strength: -71dBm, Antenna_Angle: 202.20°, Roll: -1.95°, Pitch: 0.64°, Yaw: 79.11°, Packets_Sent: 1204, Status: OK
[2025-01-01 04:10:00] Temperature: 27.0°C, Voltage: 3.47V, Current: 1.26A, Signal_Strength: -55dBm, Antenna_Angle: 82.52°, Roll: 0.63°, Pitch: -0.46°, Yaw: 112.98°, Packets_Sent: 1869, Status: OK
[2025-01-01 04:11:00] Temperature: 29.3°C, Voltage: 3.59V, Current: 0.68A, Signal_Strength: -73dBm, Antenna_Angle: 62.74°, Roll: -0.53°, Pitch: -0.29°, Yaw: 259.33°, Packets_Sent: 1037, Status: OK
[2025-01-01 04:12:00] Temperature: 32.0°C, Voltage: 3.82V, Current: 0.78A, Signal_Strength: -62dBm, Antenna_Angle: 6.09°, Roll: 0.30°, Pitch: -0.50°, Yaw: 354.51°, Packets_Sent: 1087, Status: OK
[2025-01-01 04:13:00] Temperature: 28.5°C, Voltage: 3.65V, Current: 1.29A, Signal_Strength: -73dBm, Antenna_Angle: 289.23°, Roll: -1.93°, Pitch: -1.33°, Yaw: 351.49°, Packets_Sent: 1180, Status: OK
[2025-01-01 04:14:00] Temperature: 17.1°C, Voltage: 3.80V, Current: 0.95A, Signal_Strength: -71dBm, Antenna_Angle: 238.18°, Roll: -0.77°, Pitch: 1.76°, Yaw: 205.76°, Packets_Sent: 1206, Status: OK
[2025-01-01 04:15:00] Temperature: 27.9°C, Voltage: 3.83V, Current: 0.84A, Signal_Strength: -59dBm, Antenna_Angle: 233.01°, Roll: -1.85°, Pitch: 1.82°, Yaw: 170.84°, Packets_Sent: 1731, Status: OK
[2025-01-01 04:16:00] Temperature: 27.8°C, Voltage: 3.81V, Current: 0.65A, Signal_Strength: -96dBm, Antenna_Angle: 354.62°, Roll: -1.47°, Pitch: 0.61°, Yaw: 242.98°, Packets_Sent: 1279, Status: Warning
[2025-01-01 04:17:00] Temperature: 43.9°C, Voltage: 3.66V, Current: 0.92A, Signal_Strength: -59dBm, Antenna_Angle: 126.87°, Roll: 1.76°, Pitch: 0.74°, Yaw: 324.03°, Packets_Sent: 1325, Status: OK
[2025-01-01 04:18:00] Temperature: 24.3°C, Voltage: 3.50V, Current: 0.50A, Signal_Strength: -52dBm, Antenna_Angle: 118.37°, Roll: -1.88°, Pitch: 0.05°, Yaw: 261.02°, Packets_Sent: 1285, Status: OK
[2025-01-01 04:19:00] Temperature: 25.0°C, Voltage: 3.54V, Current: 0.56A, Signal_Strength: -70dBm, Antenna_Angle: 210.99°, Roll: 1.37°, Pitch: 1.10°, Yaw: 175.06°, Packets_Sent: 1620, Status: OK
[2025-01-01 04:20:00] Temperature: 44.8°C, Voltage: 3.68V, Current: 0.90A, Signal_Strength: -47dBm, Antenna_Angle: 172.77°, Roll: -2.00°, Pitch: -0.32°, Yaw: 202.05°, Packets_Sent: 1002, Status: OK
[2025-01-01 04:21:00] Temperature: 24.3°C, Voltage: 3.72V, Current: 0.88A, Signal_Strength: -63dBm, Antenna_Angle: 206.06°, Roll: 1.69°, Pitch: 1.54°, Yaw: 32.05°, Packets_Sent: 1821, Status: OK
[2025-01-01 04:22:00] Temperature: 26.6°C, Voltage: 3.59V, Current: 1.16A, Signal_Strength: -74dBm, Antenna_Angle: 308.84°, Roll: -1.91°, Pitch: -1.02°, Yaw: 113.30°, Packets_Sent: 967, Status: OK
[2025-01-01 04:23:00] Temperature: 21.0°C, Voltage: 3.69V, Current: 0.82A, Signal_Strength: -67dBm, Antenna_Angle: 153.58°, Roll: 1.85°, Pitch: -0.23°, Yaw: 39.57°, Packets_Sent: 1281, Status: OK
[2025-01-01 04:24:00] Temperature: 34.5°C, Voltage: 3.50V, Current: 1.17A, Signal_Strength: -68dBm, Antenna_Angle: 74.12°, Roll: 0.37°, Pitch: 0.88°, Yaw: 64.53°, Packets_Sent: 1659, Status: OK
[2025-01-01 04:25:00] Temperature: 19.8°C, Voltage: 3.51V, Current: 0.85A, Signal_Strength: -69dBm, Antenna_Angle: 107.89°, Roll: 1.41°, Pitch: 0.46°, Yaw: 329.81°, Packets_Sent: 1060, Status: OK
[2025-01-01 04:26:00] Temperature: 31.8°C, Voltage: 3.68V, Current: 0.77A, Signal_Strength: -63dBm, Antenna_Angle: 332.13°, Roll: 0.63°, Pitch: -1.01°, Yaw: 350.05°, Packets_Sent: 1747, Status: OK
[2025-01-01 04:27:00] Temperature: 41.2°C, Voltage: 3.83V, Current: 0.72A, Signal_Strength: -68dBm, Antenna_Angle: 255.25°, Roll: 1.17°, Pitch: -0.78°, Yaw: 43.67°, Packets_Sent: 1049, Status: OK
[2025-01-01 04:28:00] Temperature: 33.1°C, Voltage: 3.55V, Current: 1.07A, Signal_Strength: -50dBm, Antenna_Angle: 340.10°, Roll: -0.90°, Pitch: -0.20°, Yaw: 81.51°, Packets_Sent: 1429, Status: OK
[2025-01-01 04:29:00] Temperature: 41.3°C, Voltage: 3.56V, Current: 0.98A, Signal_Strength: -55dBm, Antenna_Angle: 236.65°, Roll: -1.42°, Pitch: -1.81°, Yaw: 118.14°, Packets_Sent: 1250, Status: OK
[2025-01-01 04:30:00] Temperature: 33.2°C, Voltage: 3.64V, Current: 1.43A, Signal_Strength: -45dBm, Antenna_Angle: 240.84°, Roll: 0.57°, Pitch: 1.53°, Yaw: 209.74°, Packets_Sent: 1991, Status: OK
[2025-01-01 04:31:00] Temperature: 18.0°C, Voltage: 3.51V, Current: 1.46A, Signal_Strength: -45dBm, Antenna_Angle: 273.68°, Roll: -1.48°, Pitch: 0.77°, Yaw: 41.45°, Packets_Sent: 1812, Status: OK
[2025-01-01 04:32:00] Temperature: 16.3°C, Voltage: 3.58V, Current: 1.39A, Signal_Strength: -59dBm, Antenna_Angle: 69.38°, Roll: -0.52°, Pitch: -0.11°, Yaw: 210.81°, Packets_Sent: 1745, Status: OK
[2025-01-01 04:33:00] Temperature: 18.8°C, Voltage: 3.55V, Current: 0.45A, Signal_Strength: -67dBm, Antenna_Angle: 155.82°, Roll: -0.47°, Pitch: -1.74°, Yaw: 260.47°, Packets_Sent: 1523, Status: OK
[2025-01-01 04:34:00] Temperature: 16.6°C, Voltage: 3.46V, Current: 1.39A, Signal_Strength: -49dBm, Antenna_Angle: 38.39°, Roll: -1.18°, Pitch: 1.46°, Yaw: 119.99°, Packets_Sent: 1135, Status: OK
[2025-01-01 04:35:00] Temperature: 25.7°C, Voltage: 3.73V, Current: 0.83A, Signal_Strength: -65dBm, Antenna_Angle: 121.45°, Roll: 1.86°, Pitch: 0.22°, Yaw: 154.88°, Packets_Sent: 1865, Status: OK
[2025-01-01 04:36:00] Temperature: 42.7°C, Voltage: 3.69V, Current: 1.44A, Signal_Strength: -67dBm, Antenna_Angle: 129.78°, Roll: -1.24°, Pitch: 0.78°, Yaw: 142.75°, Packets_Sent: 1511, Status: OK
[2025-01-01 04:37:00] Temperature: 17.2°C, Voltage: 3.82V, Current: 1.01A, Signal_Strength: -74dBm, Antenna_Angle: 73.69°, Roll: -1.24°, Pitch: -0.37°, Yaw: 335.79°, Packets_Sent: 1275, Status: OK
[2025-01-01 04:38:00] Temperature: 16.0°C, Voltage: 3.55V, Current: 0.74A, Signal_Strength: -66dBm, Antenna_Angle: 95.44°, Roll: 0.62°, Pitch: -1.93°, Yaw: 83.51°, Packets_Sent: 1325, Status: OK
[2025-01-01 04:39:00] Temperature: 32.4°C, Voltage: 3.65V, Current: 1.16A, Signal_Strength: -51dBm, Antenna_Angle: 142.64°, Roll: -1.87°, Pitch: 1.17°, Yaw: 355.88°, Packets_Sent: 957, Status: OK
[2025-01-01 04:40:00] Temperature: 36.3°C, Voltage: 3.81V, Current: 1.03A, Signal_Strength: -67dBm, Antenna_Angle: 271.17°, Roll: -1.39°, Pitch: 1.22°, Yaw: 32.28°, Packets_Sent: 1002, Status: OK
[2025-01-01 04:41:00] Temperature: 29.6°C, Voltage: 3.81V, Current: 0.47A, Signal_Strength: -67dBm, Antenna_Angle: 357.67°, Roll: -1.17°, Pitch: -0.73°, Yaw: 55.86°, Packets_Sent: 1518, Status: OK
[2025-01-01 04:42:00] Temperature: 38.7°C, Voltage: 3.60V, Current: 0.45A, Signal_Strength: -70dBm, Antenna_Angle: 201.26°, Roll: -0.31°, Pitch: -0.65°, Yaw: 161.44°, Packets_Sent: 1474, Status: OK
[2025-01-01 04:43:00] Temperature: 41.2°C, Voltage: 3.82V, Current: 0.58A, Signal_Strength: -69dBm, Antenna_Angle: 187.31°, Roll: 0.49°, Pitch: -1.06°, Yaw: 49.06°, Packets_Sent: 1213, Status: OK
[2025-01-01 04:44:00] Temperature: 27.0°C, Voltage: 3.85V, Current: 0.64A, Signal_Strength: -49dBm, Antenna_Angle: 82.70°, Roll: -1.21°, Pitch: -0.37°, Yaw: 158.75°, Packets_Sent: 1349, Status: OK
[2025-01-01 04:45:00] Temperature: 18.7°C, Voltage: 3.81V, Current: 1.26A, Signal_Strength: -64dBm, Antenna_Angle: 293.67°, Roll: 1.42°, Pitch: -1.43°, Yaw: 172.21°, Packets_Sent: 1796, Status: OK
[2025-01-01 04:46:00] Temperature: 37.5°C, Voltage: 3.58V, Current: 1.39A, Signal_Strength: -73dBm, Antenna_Angle: 100.08°, Roll: -1.16°, Pitch: -1.69°, Yaw: 325.26°, Packets_Sent: 1658, Status: OK
[2025-01-01 04:47:00] Temperature: 37.0°C, Voltage: 3.67V, Current: 0.68A, Signal_Strength: -99dBm, Antenna_Angle: 84.59°, Roll: -0.92°, Pitch: 1.67°, Yaw: 285.26°, Packets_Sent: 1343, Status: Warning
[2025-01-01 04:48:00] Temperature: 43.4°C, Voltage: 3.77V, Current: 1.29A, Signal_Strength: -51dBm, Antenna_Angle: 330.21°, Roll: -1.64°, Pitch: 0.87°, Yaw: 344.73°, Packets_Sent: 933, Status: OK
[2025-01-01 04:49:00] Temperature: 19.0°C, Voltage: 3.47V, Current: 0.81A, Signal_Strength: -62dBm, Antenna_Angle: 316.31°, Roll: 1.67°, Pitch: -0.96°, Yaw: 317.91°, Packets_Sent: 1747, Status: OK
[2025-01-01 04:50:00] Temperature: 38.3°C, Voltage: 3.49V, Current: 1.41A, Signal_Strength: -56dBm, Antenna_Angle: 248.75°, Roll: 1.30°, Pitch: -0.34°, Yaw: 224.02°, Packets_Sent: 1557, Status: OK
[2025-01-01 04:51:00] Temperature: 43.1°C, Voltage: 3.52V, Current: 0.69A, Signal_Strength: -63dBm, Antenna_Angle: 230.33°, Roll: 0.15°, Pitch: 1.68°, Yaw: 55.47°, Packets_Sent: 1365, Status: OK
[2025-01-01 04:52:00] Temperature: 33.9°C, Voltage: 3.59V, Current: 1.36A, Signal_Strength: -73dBm, Antenna_Angle: 56.00°, Roll: 1.21°, Pitch: 0.34°, Yaw: 247.71°, Packets_Sent: 982, Status: OK
[2025-01-01 04:53:00] Temperature: 37.7°C, Voltage: 3.56V, Current: 0.68A, Signal_Strength: -60dBm, Antenna_Angle: 266.21°, Roll: -0.06°, Pitch: 0.51°, Yaw: 162.49°, Packets_Sent: 1406, Status: OK
[2025-01-01 04:54:00] Temperature: 17.3°C, Voltage: 3.52V, Current: 0.54A, Signal_Strength: -72dBm, Antenna_Angle: 16.97°, Roll: -0.17°, Pitch: 0.05°, Yaw: 84.85°, Packets_Sent: 1987, Status: OK
[2025-01-01 04:55:00] Temperature: 35.7°C, Voltage: 3.62V, Current: 1.41A, Signal_Strength: -57dBm, Antenna_Angle: 241.05°, Roll: -0.18°, Pitch: -1.80°, Yaw: 296.77°, Packets_Sent: 1051, Status: OK
[2025-01-01 04:56:00] Temperature: 16.1°C, Voltage: 3.70V, Current: 0.65A, Signal_Strength: -70dBm, Antenna_Angle: 37.28°, Roll: 0.78°, Pitch: -1.29°, Yaw: 114.60°, Packets_Sent: 1415, Status: OK
[2025-01-01 04:57:00] Temperature: 37.9°C, Voltage: 3.65V, Current: 0.59A, Signal_Strength: -71dBm, Antenna_Angle: 177.20°, Roll: 0.99°, Pitch: -1.00°, Yaw: 200.71°, Packets_Sent: 1694, Status: OK
[2025-01-01 04:58:00] Temperature: 15.6°C, Voltage: 3.79V, Current: 0.56A, Signal_Strength: -72dBm, Antenna_Angle: 63.41°, Roll: 0.74°, Pitch: -0.96°, Yaw: 316.46°, Packets_Sent: 1556, Status: OK
[2025-01-01 04:59:00] Temperature: 43.7°C, Voltage: 3.81V, Current: 1.21A, Signal_Strength: -75dBm, Antenna_Angle: 194.24°, Roll: -1.19°, Pitch: -0.84°, Yaw: 108.73°, Packets_Sent: 1300, Status: OK
[2025-01-01 05:00:00] Temperature: 40.0°C, Voltage: 3.57V, Current: 1.32A, Signal_Strength: -97dBm, Antenna_Angle: 215.71°, Roll: -1.95°, Pitch: -0.14°, Yaw: 289.59°, Packets_Sent: 1577, Status: Warning
[2025-01-01 05:01:00] Temperature: 26.3°C, Voltage: 3.65V, Current: 0.78A, Signal_Strength: -57dBm, Antenna_Angle: 314.98°, Roll: 1.15°, Pitch: -0.21°, Yaw: 92.65°, Packets_Sent: 1288, Status: OK
[2025-01-01 05:02:00] Temperature: 20.4°C, Voltage: 3.62V, Current: 1.12A, Signal_Strength: -70dBm, Antenna_Angle: 315.94°, Roll: -0.34°, Pitch: -0.93°, Yaw: 162.84°, Packets_Sent: 1548, Status: OK
[2025-01-01 05:03:00] Temperature: 24.6°C, Voltage: 3.52V, Current: 1.40A, Signal_Strength: -58dBm, Antenna_Angle: 6.31°, Roll: 1.54°, Pitch: -0.60°, Yaw: 30.14°, Packets_Sent: 1064, Status: OK
[2025-01-01 05:04:00] Temperature: 19.0°C, Voltage: 3.71V, Current: 1.03A, Signal_Strength: -47dBm, Antenna_Angle: 54.33°, Roll: -1.53°, Pitch: -0.71°, Yaw: 311.28°, Packets_Sent: 1485, Status: OK
[2025-01-01 05:05:00] Temperature: 27.3°C, Voltage: 3.47V, Current: 1.05A, Signal_Strength: -66dBm, Antenna_Angle: 239.34°, Roll: -1.07°, Pitch: -1.02°, Yaw: 240.61°, Packets_Sent: 1723, Status: OK
[2025-01-01 05:06:00] Temperature: 34.4°C, Voltage: 3.52V, Current: 1.08A, Signal_Strength: -66dBm, Antenna_Angle: 275.01°, Roll: -1.83°, Pitch: -0.49°, Yaw: 120.68°, Packets_Sent: 1268, Status: OK
[2025-01-01 05:07:00] Temperature: 30.4°C, Voltage: 3.09V, Current: 1.01A, Signal_Strength: -72dBm, Antenna_Angle: 73.71°, Roll: -1.11°, Pitch: 0.15°, Yaw: 306.47°, Packets_Sent: 1119, Status: Warning
[2025-01-01 05:08:00] Temperature: 19.7°C, Voltage: 3.78V, Current: 0.49A, Signal_Strength: -49dBm, Antenna_Angle: 33.97°, Roll: 1.13°, Pitch: -0.51°, Yaw: 106.58°, Packets_Sent: 1254, Status: OK
[2025-01-01 05:09:00] Temperature: 41.5°C, Voltage: 3.73V, Current: 0.99A, Signal_Strength: -49dBm, Antenna_Angle: 195.63°, Roll: -0.00°, Pitch: -0.39°, Yaw: 321.70°, Packets_Sent: 1997, Status: OK
[2025-01-01 05:10:00] Temperature: 78.6°C, Voltage: 3.16V, Current: 0.69A, Signal_Strength: -96dBm, Antenna_Angle: 140.20°, Roll: 1.00°, Pitch: 1.35°, Yaw: 242.53°, Packets_Sent: 1525, Status: Warning
[2025-01-01 05:11:00] Temperature: 29.9°C, Voltage: 3.71V, Current: 0.93A, Signal_Strength: -50dBm, Antenna_Angle: 187.48°, Roll: 0.55°, Pitch: -0.87°, Yaw: 313.27°, Packets_Sent: 1694, Status: OK
[2025-01-01 05:12:00] Temperature: 38.3°C, Voltage: 3.50V, Current: 0.88A, Signal_Strength: -71dBm, Antenna_Angle: 106.63°, Roll: -1.55°, Pitch: -1.44°, Yaw: 334.85°, Packets_Sent: 1269, Status: OK
[2025-01-01 05:13:00] Temperature: 20.4°C, Voltage: 3.53V, Current: 0.42A, Signal_Strength: -54dBm, Antenna_Angle: 16.37°, Roll: 0.45°, Pitch: 0.13°, Yaw: 286.49°, Packets_Sent: 1234, Status: OK
[2025-01-01 05:14:00] Temperature: 37.0°C, Voltage: 3.83V, Current: 1.41A, Signal_Strength: -58dBm, Antenna_Angle: 310.27°, Roll: -1.64°, Pitch: 1.45°, Yaw: 160.74°, Packets_Sent: 1129, Status: OK
[2025-01-01 05:15:00] Temperature: 27.2°C, Voltage: 3.69V, Current: 1.47A, Signal_Strength: -67dBm, Antenna_Angle: 248.63°, Roll: 0.61°, Pitch: 0.05°, Yaw: 71.70°, Packets_Sent: 1097, Status: OK
[2025-01-01 05:16:00] Temperature: 15.6°C, Voltage: 3.54V, Current: 0.88A, Signal_Strength: -63dBm, Antenna_Angle: 265.49°, Roll: 0.82°, Pitch: -1.75°, Yaw: 125.22°, Packets_Sent: 1244, Status: OK
[2025-01-01 05:17:00] Temperature: 19.8°C, Voltage: 3.58V, Current: 1.00A, Signal_Strength: -69dBm, Antenna_Angle: 34.69°, Roll: 0.53°, Pitch: -0.69°, Yaw: 64.60°, Packets_Sent: 1558, Status: OK
[2025-01-01 05:18:00] Temperature: 30.9°C, Voltage: 3.54V, Current: 1.18A, Signal_Strength: -47dBm, Antenna_Angle: 199.13°, Roll: 1.70°, Pitch: 1.37°, Yaw: 221.73°, Packets_Sent: 1231, Status: OK
[2025-01-01 05:19:00] Temperature: 31.9°C, Voltage: 3.69V, Current: 0.47A, Signal_Strength: -63dBm, Antenna_Angle: 251.10°, Roll: 1.29°, Pitch: 1.03°, Yaw: 336.07°, Packets_Sent: 1235, Status: OK
[2025-01-01 05:20:00] Temperature: 20.3°C, Voltage: 3.67V, Current: 1.38A, Signal_Strength: -49dBm, Antenna_Angle: 180.57°, Roll: 0.69°, Pitch: 1.53°, Yaw: 73.38°, Packets_Sent: 1689, Status: OK
[2025-01-01 05:21:00] Temperature: 27.2°C, Voltage: 3.75V, Current: 0.96A, Signal_Strength: -56dBm, Antenna_Angle: 317.97°, Roll: -1.29°, Pitch: -0.18°, Yaw: 89.22°, Packets_Sent: 1724, Status: OK
[2025-01-01 05:22:00] Temperature: 44.0°C, Voltage: 3.49V, Current: 1.47A, Signal_Strength: -69dBm, Antenna_Angle: 238.97°, Roll: -1.20°, Pitch: -1.10°, Yaw: 219.15°, Packets_Sent: 1221, Status: OK
[2025-01-01 05:23:00] Temperature: 31.2°C, Voltage: 3.65V, Current: 1.47A, Signal_Strength: -65dBm, Antenna_Angle: 67.26°, Roll: 0.11°, Pitch: -0.70°, Yaw: 337.63°, Packets_Sent: 1029, Status: OK
[2025-01-01 05:24:00] Temperature: 36.0°C, Voltage: 3.61V, Current: 1.39A, Signal_Strength: -60dBm, Antenna_Angle: 34.19°, Roll: -0.31°, Pitch: 0.52°, Yaw: 133.28°, Packets_Sent: 988, Status: OK
[2025-01-01 05:25:00] Temperature: 15.2°C, Voltage: 3.81V, Current: 0.99A, Signal_Strength: -72dBm, Antenna_Angle: 235.50°, Roll: -1.01°, Pitch: -1.70°, Yaw: 45.88°, Packets_Sent: 1445, Status: OK
[2025-01-01 05:26:00] Temperature: 43.7°C, Voltage: 3.50V, Current: 1.41A, Signal_Strength: -54dBm, Antenna_Angle: 126.84°, Roll: 0.32°, Pitch: 0.13°, Yaw: 88.90°, Packets_Sent: 1758, Status: OK
[2025-01-01 05:27:00] Temperature: 25.5°C, Voltage: 3.65V, Current: 1.21A, Signal_Strength: -75dBm, Antenna_Angle: 257.82°, Roll: 0.81°, Pitch: -0.49°, Yaw: 250.53°, Packets_Sent: 1208, Status: OK
[2025-01-01 05:28:00] Temperature: 31.0°C, Voltage: 3.76V, Current: 1.07A, Signal_Strength: -64dBm, Antenna_Angle: 298.59°, Roll: -0.71°, Pitch: -1.18°, Yaw: 222.02°, Packets_Sent: 1183, Status: OK
[2025-01-01 05:29:00] Temperature: 41.7°C, Voltage: 3.52V, Current: 0.76A, Signal_Strength: -57dBm, Antenna_Angle: 241.61°, Roll: 1.06°, Pitch: 0.95°, Yaw: 319.17°, Packets_Sent: 918, Status: OK
